ID,Reviewer,Rating,Review Time,Review Content,Owner Response
138,Fabien Moreau,3,2023-03-08,Super bel endroit mais la bière est plus cher qu’au centre Bell!!!!,"Bonjour Fabien, les prix de nos bières 473mL sont compris entre 8$ et 11$ (11$ étant pour les bières de microbrasserie). In nous semble bien que les prix du Centre Bell sont bien au dessus de ça ! :)"
139,Sepulveda Claudio,5,2023-02-06,"J’ai fait mon évènement de ma vie à ce théâtre et tout était génial, merci pour le support de tout l’équipe, merci Benoît, Annabelle, Tania et les autres membres.  Mon prochain événement sûrement j’irai vous chercher encore .",None
140,Sebastien Tremblay,5,2022-12-08,"J ai vue le show de Carpathian Forest pour le festival Messes des morts à cette endroit.

Méchant beau spot pour des shows !",None
141,Jojo Narbo,4,2022-07-06,6 mai 2022. Spectacle de Sugar Sammy. Belle salle. Facile d'accès. Formule cabaret table a 4. On était au milieu de la salle et pas évident de bien voir.,Merci Jojo pour ton commentaire ! Au plaisir de t’accueillir pour un autre spectacle !
142,Anissa B,4,2022-08-10,Le Paradoxe c'était une église où l'on  rassemble les gens pour prier... là on prie pour arrivé à temps aux toilettes après  un spectacle d'humour de @SugarSamy,None
143,Studio C1C4,5,2023-06-06,Bel endroit. Bonne sonorité malgré l'espace cathédrale!,C'est vrai que le son est excellent malgré ce que l'on pourrait penser des églises.  Le traitement acoustique a été bien pensé et le système de son bien calibré pour bien remplir l'espace.  Merci de votre commentaire!
144,Sylvain Lavigne,5,2022-07-06,"Magnifique endroit nous avons découvert ce théâtre avec la comédie musicale footloose
Tout était parfait excellents artistes avec de très belles voix",Nous sommes heureux d’apprendre que vous avez apprécié votre visite chez nous! Au plaisir de vous accueillir pour un autre spectacle ;)
145,Cynthia Faubert,5,2022-12-08,"Endroit spectaculaire et personnel chaleureux, sans compter la mission sociale. Les invités de notre évènement corporatif ont adoré leur expérience. Définitivement à refaire. Merci Théâtre Paradoxe !",None
146,David Soucy,4,2023-06-06,Visite de ce bel endroit pour l’événement roll the bone 2023. C’était wow!!,Merci de le commentaire! Au plaisir de vous revoir!
147,Pavlo Zinchenko,5,2020-07-06,Good place for concerts. Excellent acoustics. It's pretty spacious in here.,None
148,marie-jeanne ghislaine,4,2022-10-09,"C'aurait été bien d'offrir des "" lifts "" - d'inviter des personnes âgées sans auto dans votre automobile. -  On ne pense pas souvent à ceux et celles vivant seuls dans leur appartement - et pourtant.... Même chose pour le vote de lundi -  Triste - J'espère que la Jeunesse d'aujourd'hui auront une vieillesse plus reconnue comme aînés avec un passé qui mérite plus d'aide.",None
149,Yanick Aubry,4,2022-07-06,Une bien belle salle de spectacle dans une église reconverti.,None
150,Julia Bodryzlova,5,2023-05-07,Une très belle salle de spectacle,Merci de le commentaire! Au plaisir de vous revoir!
151,LowSau,1,2022-07-06,"La pièce était très bonne surtout à la fin quand ils nous ont laissé sortir de la salle: perte de temps, mais les siège sont confos pour une petite sieste oklm: mon enfant Jean-Christophe Tremblay Urbanisation (non genré) a pris une sieste et m'a dit qu'il avait fait un cauchemar (Jean Cule (son frère) l'a mougou mougou): la salle est maudite","Bonjour Xilox,

C'est dommage d'avoir mit 1 étoile alors que tu as aimé la ""pièce"" et les sièges!

Je n'ai pas trouvé de billets au nom de Mr. Cule, mais on s'assurera de faire venir un exorciste la prochaine fois pour éviter que les fantômes de l'église reviennent hanter les lieux! 👻"
152,Michelle Auger,4,2022-11-08,Beau party disco. Le son sortait bien. Les organisateurs ont bien préparé la soirée,None
153,Patrick Raymond,5,2022-12-08,"Superbe. La messe des morts dans cette venue est vraiment tres bien. Si vous etes en chaises roulante, apporte des amis pour les marches a l'entré.",None
154,Geneviève Leblanc (FG Chocolatiers),5,2022-08-10,Superbe reconvertion d'église!,None
155,Jessica Changeat,5,2022-07-06,"J'ai fait la découverte du théâtre grâce au Show de Sugar Sammy, l'endroit est vraiment sympathique, j'ai pu me stationner gratuitement dans la rue, le personnel était très accueillant et chaleureux. Le théâtre est proche du centre de Montréal.",Merci beaucoup Jessica ! Au plaisir !
